"id","age_sim","gender_sim","race_ethn_sim","neur_1_sim","neur_2_sim","neur_3_sim","neur_4_sim","neur_5_sim","neur_6_sim","neur_7_sim","neur_8_sim","lic_1_sim","lic_2_sim","lic_3_sim","lic_4_sim","lic_5_sim","lic_6_sim","lic_7_sim","lic_8_sim","lic_9_sim","lic_10_sim","lic_11_sim"
30,"18","Woman","Hispanic or Latino",3,1,2,5,1,5,3,2,3,3,2,3,2,3,3,2,4,2,5
31,"19","Woman","White",4,3,3,2,3,4,3,4,4,4,3,4,4,3,4,2,4,3,2
32,"19","Nonbinary or genderqueer","White",1,3,3,4,3,2,4,2,4,4,3,2,2,3,4,4,3,2,3
33,"18","Woman","White",4,4,4,2,3,2,4,3,4,3,5,4,3,2,3,4,3,2,4
34,"20","Woman","White",4,3,2,3,3,3,3,4,4,5,5,3,3,4,4,3,3,3,3
35,"18","Man","Hispanic or Latino",2,3,2,4,2,3,3,3,2,4,2,3,3,3,2,3,4,3,5
36,"21","Woman","White",4,2,4,4,3,3,4,3,4,2,4,4,3,3,3,3,2,3,4
37,"21","Woman","Hispanic or Latino",2,2,4,4,4,3,2,2,3,2,3,2,4,2,3,1,5,4,4
38,"18","Woman","Asian",3,1,5,2,1,2,3,2,4,4,3,2,3,3,4,2,4,4,3
39,"19","Woman","Black or African American",3,3,3,3,3,3,2,3,3,3,2,3,4,3,2,3,3,2,3
40,"22","Woman","White",5,1,3,3,5,4,3,2,4,1,5,3,3,3,2,1,2,3,2
41,"18","Man","White",5,4,2,3,3,3,4,5,3,4,4,2,3,2,4,3,2,4,3
42,"18","Man","White",2,4,2,4,2,3,4,2,4,4,4,4,4,4,4,3,4,5,4
43,"22","Woman","Hispanic or Latino",3,1,3,3,3,3,3,3,3,3,4,2,4,2,2,4,2,4,5
44,"18","Nonbinary or genderqueer","White",2,2,3,4,5,3,2,3,2,3,3,2,3,2,3,3,2,4,3
45,"21","Woman","Hispanic or Latino",3,4,3,2,2,2,2,3,3,3,4,3,2,3,2,4,3,2,3
46,"18","Woman","White",4,5,3,2,2,3,2,3,2,3,2,2,2,4,3,3,4,5,6
47,"20","Woman","Black or African American",4,3,3,3,3,3,4,2,5,3,3,4,3,3,2,4,1,2,3
48,"18","Woman","White",3,2,3,2,3,4,2,3,2,4,4,3,3,4,2,3,4,3,4
49,"21","Man","White",5,5,4,4,4,4,2,4,4,2,3,3,3,2,2,2,2,4,4
50,"19","Woman","Black or African American",2,4,3,2,5,4,3,3,4,4,3,2,4,2,3,3,2,4,5
51,"21","Woman","White",3,3,1,2,3,3,5,2,4,4,2,4,2,4,2,3,3,2,3
52,"19","Man","White",3,4,4,4,3,3,4,3,4,2,3,2,2,2,4,2,5,4,4
53,"19","Woman","White",4,2,2,4,2,3,2,2,3,3,2,4,3,5,4,2,4,2,4
54,"19","Man","White",3,2,3,3,2,4,1,1,3,4,4,3,4,3,4,3,4,3,1
55,"22","Woman","Middle Eastern or North African",2,3,3,1,2,4,4,2,3,2,4,3,3,2,2,3,4,2,4
56,"19","Man","White",4,2,3,3,3,3,4,3,3,4,4,1,4,3,1,4,2,2,4
57,"19","Woman","White",4,2,2,3,2,5,1,4,4,3,2,3,2,3,3,3,1,3,5
58,"19","Man","White",2,1,3,3,3,3,3,4,2,4,4,2,3,5,3,5,2,4,3
59,"20","Woman","White",3,4,4,3,4,3,4,2,4,2,4,3,4,4,2,4,3,3,4
60,"18","Woman","White",4,3,1,3,4,3,4,5,3,3,4,3,2,2,2,4,2,2,5
61,"22","Woman","White",3,4,3,3,1,3,1,3,4,1,2,1,5,2,4,1,4,2,4
62,"19","Woman","White",2,2,1,3,2,4,3,3,2,4,2,3,3,3,3,4,4,3,4
63,"18","Woman","Asian",4,4,3,4,3,4,1,2,3,3,2,3,4,3,2,3,3,3,4
64,"18","Woman","Hispanic or Latino",2,3,3,2,3,3,3,2,2,2,2,2,2,4,4,3,2,3,4
65,"18","Woman","Asian",2,1,2,2,4,3,3,2,3,2,4,3,3,4,3,2,2,3,4
66,"19","Woman","Black or African American",2,3,3,2,3,3,3,3,2,2,2,4,2,3,3,3,2,3,5
67,"21","Woman","White",2,4,4,3,3,2,5,3,4,3,2,3,4,3,2,4,3,2,4
68,"21","Woman","White",4,1,3,4,4,3,2,3,4,1,1,4,2,3,4,4,3,4,4
69,"21","Woman","Hispanic or Latino",2,2,2,4,2,4,4,3,4,4,4,2,2,3,3,3,4,2,5
70,"20","Woman","White",4,4,3,2,3,5,2,4,4,4,2,2,2,2,4,3,2,3,4
71,"18","Man","Asian",3,4,4,2,3,2,3,3,2,5,3,3,2,3,3,4,4,3,3
72,"21","Woman","White",3,1,2,2,3,4,4,4,3,3,3,1,3,3,3,4,4,4,2
73,"19","Man","Asian",4,5,3,4,3,3,3,2,2,2,2,2,4,3,2,3,3,5,4
74,"22","Man","White",3,2,4,3,3,4,2,4,4,3,4,3,4,4,4,3,4,3,2
75,"19","Woman","Hispanic or Latino",3,3,3,3,1,3,2,3,3,4,4,2,3,3,2,3,3,3,3
76,"18","Man","White",3,3,2,2,4,2,2,3,2,3,5,5,3,3,3,1,3,2,4
77,"22","Woman","White",4,2,4,2,3,4,3,5,2,5,2,2,3,4,4,3,3,3,3
78,"20","Man","White",2,4,2,2,3,4,3,4,3,2,2,3,4,3,3,3,2,3,2
79,"20","Man","Native Hawaiian or Pacific Islander",2,4,2,3,3,3,2,3,2,1,3,3,4,4,3,2,3,3,4
80,"19","Woman","White",2,4,3,3,5,2,3,4,2,4,4,4,2,3,1,3,2,2,3
81,"19","Woman","White",5,2,3,5,5,3,3,2,4,4,4,3,4,4,3,2,3,2,4
82,"22","Man","White",3,2,4,3,4,2,3,3,3,2,2,3,3,3,3,5,4,4,4
83,"21","Woman","Middle Eastern or North African",1,2,2,3,4,3,4,3,2,2,2,2,3,1,4,4,4,3,5
84,"21","Woman","White",4,3,2,4,3,2,2,3,3,3,3,4,2,4,5,5,3,3,3
85,"18","Woman","White",1,4,3,4,3,4,3,3,5,4,2,2,3,3,4,3,1,3,4
86,"18","Man","White",2,5,3,4,2,4,4,4,4,2,3,2,3,2,3,3,2,3,5
87,"20","Woman","Black or African American",4,1,3,2,3,2,2,4,4,4,3,3,2,3,4,2,2,5,5
88,"19","Man","White",3,2,5,2,3,4,4,4,4,3,2,3,4,3,3,1,4,2,4
89,"21","Woman","Hispanic or Latino",3,4,3,3,3,5,1,3,3,2,4,3,3,4,3,2,4,3,3
90,"21","Woman","Black or African American",2,2,4,4,4,3,4,4,3,3,3,3,3,3,3,2,4,4,4
91,"19","Woman","White",3,2,3,3,2,3,2,4,3,4,3,2,1,2,3,2,1,3,4
92,"19","Nonbinary or genderqueer","Asian",2,4,3,4,4,4,2,1,4,5,4,2,3,3,4,1,4,4,5
93,"18","Man","White",3,3,3,2,2,4,3,3,4,3,5,1,2,3,4,2,3,3,4
94,"22","Woman","Asian",4,2,4,2,4,1,2,4,3,2,2,3,3,3,3,4,3,3,5
95,"19","Man","Black or African American",4,4,4,2,3,4,4,2,3,5,2,2,4,1,3,1,4,2,3
96,"19","Woman","White",4,3,4,3,3,4,2,1,3,5,2,4,5,3,2,5,2,3,5
97,"19","Woman","White",3,2,2,3,2,3,3,2,3,2,3,2,3,2,2,3,4,2,4
98,"18","Woman","White",2,4,3,4,4,2,1,4,3,4,3,3,2,3,4,4,4,4,3
99,"22","Nonbinary or genderqueer","White",3,3,3,3,1,3,4,3,2,3,3,4,4,4,1,4,2,4,5
100,"18","Woman","Asian",3,4,3,3,3,1,3,2,1,3,2,5,3,2,3,3,3,4,3
101,"20","Woman","White",2,3,3,4,1,4,1,1,5,1,3,3,2,3,2,2,4,4,4
102,"22","Woman","White",4,1,3,4,4,1,2,4,3,5,4,4,4,3,4,4,4,1,3
103,"19","Woman","White",3,2,4,2,3,4,4,3,5,3,3,4,3,4,3,2,3,3,3
104,"22","Woman","Asian",4,3,2,5,3,4,4,5,3,4,3,3,4,4,3,4,3,2,1
105,"20","Woman","Black or African American",5,4,2,2,5,3,2,3,3,3,3,3,1,3,2,1,4,2,5
106,"18","Woman","White",3,3,2,4,2,2,3,3,3,4,3,4,3,2,4,3,5,3,3
107,"19","Woman","Middle Eastern or North African",3,1,4,2,4,3,2,2,2,3,4,2,3,2,2,4,1,3,3
108,"19","Woman","White",4,4,4,4,4,2,2,3,1,3,2,1,4,4,3,4,2,4,5
109,"18","Woman","White",3,3,4,2,3,3,1,4,3,4,2,3,2,4,3,4,4,3,3
110,"22","Woman","White",4,4,3,4,3,3,3,4,3,3,3,3,3,5,3,3,1,2,4
111,"21","Man","Black or African American",2,2,3,4,4,2,3,4,4,2,2,2,2,3,4,3,1,3,5
112,"22","Woman","White",3,2,1,3,2,4,4,2,3,4,3,3,4,4,3,2,3,2,4
113,"18","Woman","White",2,4,2,1,5,3,2,4,5,2,2,2,4,3,3,2,2,2,3
114,"19","Man","Hispanic or Latino",4,3,3,2,4,3,3,2,4,3,3,2,4,4,2,3,3,3,5
115,"20","Woman","Asian",2,4,5,3,4,2,5,2,3,2,4,4,3,2,4,3,3,3,4
116,"20","Woman","Middle Eastern or North African",4,3,4,5,4,2,4,2,2,3,4,2,3,3,5,4,2,2,4
117,"18","Man","Hispanic or Latino",3,1,3,4,4,4,3,4,1,3,4,3,3,5,3,4,3,4,4
118,"22","Woman","White",2,4,5,3,2,4,2,5,2,2,3,4,3,3,2,2,3,3,4
119,"22","Woman","Hispanic or Latino",1,3,3,3,3,3,2,4,3,4,3,3,4,3,4,3,2,3,3
120,"18","Man","White",3,4,3,2,1,3,3,2,2,4,4,4,2,3,1,2,5,3,3
121,"20","Man","White",3,2,4,3,3,4,3,4,1,4,3,4,2,3,4,3,2,4,4
122,"18","Man","White",4,3,3,3,4,3,4,4,4,4,3,3,3,2,3,2,2,2,4
123,"19","Woman","Hispanic or Latino",1,2,3,2,3,2,3,5,1,3,3,3,3,2,1,4,4,2,5
124,"19","Woman","American Indian or Alaska Native",4,2,3,2,2,3,2,5,2,3,4,2,1,3,3,2,3,3,3
125,"22","Woman","Hispanic or Latino",2,4,2,3,3,3,3,4,2,3,5,3,4,2,3,4,2,3,4
126,"21","Man","White",5,3,2,2,1,5,3,4,3,5,3,3,2,4,3,3,4,1,3
127,"18","Woman","White",4,4,2,2,4,3,2,4,3,3,3,4,3,3,2,3,3,3,5
128,"19","Woman","White",3,2,1,5,4,4,3,4,1,2,3,4,4,3,3,3,2,3,4
129,"18","Man","Middle Eastern or North African",2,3,3,2,3,2,3,3,2,2,3,5,4,5,2,3,2,3,4
130,"21","Woman","Asian",4,1,4,4,3,3,5,4,4,4,2,3,1,2,4,3,2,4,5
131,"22","Man","White",3,5,2,2,1,1,3,3,3,4,2,3,1,3,3,2,4,3,3
132,"21","Woman","White",2,4,2,3,3,2,4,3,1,3,4,3,2,3,2,4,4,3,4
133,"20","Woman","Black or African American",4,2,2,1,4,4,2,3,5,4,4,4,4,3,3,2,3,3,4
134,"18","Woman","White",5,3,3,3,2,4,2,4,3,2,4,2,2,2,4,3,4,2,5
135,"22","Woman","White",4,4,3,3,1,3,1,2,3,3,4,2,2,3,3,3,3,2,4
136,"20","Woman","White",2,2,4,3,4,2,2,3,2,4,2,3,2,4,5,2,2,2,5
137,"22","Woman","White",4,3,2,4,4,2,2,3,3,3,2,3,3,3,2,3,3,4,4
138,"19","Woman","White",4,2,3,5,3,2,4,4,4,3,3,3,3,3,2,3,3,2,4
139,"19","Woman","Hispanic or Latino",3,3,3,5,1,3,3,3,2,4,1,4,2,4,3,4,3,3,5
140,"21","Man","White",5,4,2,1,3,3,2,4,1,4,3,3,1,4,4,3,3,3,4
141,"19","Nonbinary or genderqueer","White",3,4,3,3,3,2,3,2,4,3,2,3,2,3,3,1,3,4,1
142,"21","Woman","White",4,2,4,2,2,4,3,4,3,2,3,2,2,4,4,3,3,3,4
143,"19","Woman","Black or African American",3,3,4,2,1,4,3,3,3,3,3,2,4,2,2,3,2,2,3
144,"18","Man","White",4,3,3,3,4,2,4,3,4,2,2,4,5,3,2,3,5,5,5
145,"20","Woman","Asian",2,3,4,3,4,2,4,2,3,4,2,2,2,4,4,2,2,3,4
146,"20","Woman","White",2,5,4,3,3,3,2,2,1,3,1,2,3,4,3,3,3,2,5
147,"20","Man","Hispanic or Latino",4,2,3,2,2,2,3,2,2,3,4,5,3,3,3,3,3,3,4
148,"19","Woman","White",2,4,3,3,3,4,1,3,3,4,3,3,3,2,3,2,4,3,4
149,"18","Woman","White",3,4,3,4,2,3,3,3,4,2,3,4,5,5,4,3,3,2,5
150,"19","Woman","White",3,2,3,4,3,4,3,2,3,3,2,4,2,2,3,3,3,3,4
151,"18","Woman","Middle Eastern or North African",3,5,3,4,3,4,2,4,3,3,4,3,2,4,3,4,3,3,4
152,"20","Woman","Hispanic or Latino",3,5,2,3,2,1,2,3,4,2,2,3,4,1,3,4,4,3,4
153,"22","Man","Middle Eastern or North African",4,1,4,2,4,2,2,2,2,2,4,4,3,4,3,2,4,3,4
154,"19","Man","White",3,3,2,1,3,1,3,4,2,2,2,3,2,4,4,3,3,4,3
155,"20","Man","Hispanic or Latino",3,3,2,4,3,2,4,4,3,2,4,2,1,4,2,4,3,1,5
156,"20","Man","Black or African American",4,2,3,3,3,2,2,2,4,4,2,3,3,3,2,2,2,1,3
157,"19","Woman","White",2,2,3,4,3,3,3,4,4,2,3,4,4,2,5,2,2,3,5
158,"20","Woman","White",4,4,1,1,3,4,4,2,1,3,2,3,4,4,2,4,4,3,5
159,"21","Woman","Asian",2,3,3,4,2,2,2,2,3,3,3,1,3,3,3,4,3,2,4
160,"18","Man","White",2,5,2,3,3,3,3,1,4,3,4,3,3,2,2,4,1,3,3
161,"19","Woman","White",3,3,3,4,2,5,3,3,2,2,2,3,3,3,4,3,2,3,4
162,"19","Woman","White",2,5,4,4,4,3,3,4,5,1,2,2,4,5,3,3,3,1,3
163,"21","Man","White",4,4,4,2,3,3,3,4,4,2,3,2,3,4,3,2,3,3,2
164,"21","Man","Asian",3,3,4,3,4,3,2,4,4,2,2,3,4,2,2,5,2,2,2
165,"22","Woman","White",3,2,2,2,2,5,4,3,3,3,2,3,3,3,2,5,3,4,3
166,"18","Man","White",3,2,3,5,2,3,4,2,2,2,3,2,3,2,3,4,3,1,4
167,"21","Woman","White",3,1,3,3,3,1,4,4,3,2,5,4,3,4,3,2,4,2,4
168,"19","Woman","White",3,2,2,3,1,4,3,3,3,4,2,3,3,4,3,1,1,2,4
169,"19","Woman","Middle Eastern or North African",3,2,4,2,2,3,3,4,5,3,2,3,3,4,2,3,1,4,5
170,"20","Woman","Asian",4,4,2,2,3,3,4,2,3,3,5,3,2,3,2,2,2,4,6
171,"18","Woman","Hispanic or Latino",2,3,3,3,3,2,2,4,4,4,3,3,5,3,2,2,3,2,5
172,"20","Woman","White",4,4,3,2,3,5,2,5,3,2,2,3,2,3,4,4,4,3,5
173,"18","Woman","Hispanic or Latino",3,3,4,3,3,2,3,3,3,4,3,4,2,4,2,3,3,2,4
174,"21","Woman","White",5,3,3,3,1,3,2,5,3,2,3,2,4,4,2,2,3,2,4
175,"18","Woman","Asian",2,2,3,3,2,1,2,2,3,2,2,4,2,1,3,2,3,5,5
176,"20","Woman","Asian",3,1,3,3,3,3,2,3,3,3,2,2,5,4,3,3,2,1,4
177,"20","Woman","Middle Eastern or North African",4,3,3,1,3,4,3,2,4,4,3,4,1,3,2,3,2,3,4
178,"18","Woman","White",5,3,2,2,5,3,5,3,3,2,3,3,3,3,3,3,2,3,4
179,"20","Man","White",5,2,4,3,1,3,2,3,3,2,2,4,3,2,2,4,2,5,3
180,"18","Man","White",2,3,3,4,4,3,4,3,4,3,3,2,5,2,4,4,4,2,4
181,"18","Man","White",4,2,3,4,1,5,3,4,2,2,3,2,4,4,3,3,4,1,4
182,"21","Man","White",1,4,3,3,3,1,2,2,4,3,2,1,4,5,2,5,3,4,5
183,"18","Woman","Middle Eastern or North African",4,2,3,2,3,3,3,2,4,3,4,3,4,4,2,4,3,2,4
184,"19","Woman","White",3,4,3,3,3,2,4,2,2,3,4,3,3,5,4,3,4,2,4
185,"20","Woman","White",1,2,2,4,5,4,4,4,4,4,1,2,3,3,2,2,3,1,5
186,"22","Man","Middle Eastern or North African",4,3,2,1,3,5,4,2,3,3,3,3,3,4,4,4,4,4,3
187,"21","Man","Hispanic or Latino",4,3,1,2,4,3,4,3,2,3,3,2,2,4,4,3,2,3,5
188,"19","Man","White",4,1,4,1,3,4,3,2,2,2,3,2,2,1,4,3,5,3,3
189,"22","Man","White",3,2,2,4,4,3,3,4,5,4,4,3,4,2,4,1,5,4,3
190,"21","Woman","Middle Eastern or North African",4,4,4,4,2,5,3,3,4,3,2,5,2,3,3,4,2,2,3
191,"19","Woman","White",2,4,2,4,4,3,4,2,2,4,4,3,5,4,3,2,2,1,4
192,"19","Woman","Hispanic or Latino",5,3,3,2,5,3,3,4,3,3,4,2,4,3,3,5,4,4,5
193,"22","Man","Black or African American",2,4,5,3,2,4,4,3,2,3,3,3,3,4,4,4,3,3,3
194,"20","Man","White",3,3,3,3,1,3,3,3,3,3,3,2,1,2,3,3,4,2,4
195,"18","Woman","White",5,2,2,2,4,3,2,2,5,3,4,4,3,4,3,2,2,3,5
196,"19","Man","White",3,2,1,2,3,4,4,3,4,2,3,1,4,1,2,2,4,3,4
197,"20","Woman","Black or African American",3,4,4,3,3,3,1,4,1,4,4,4,2,3,3,3,4,2,3
198,"20","Woman","White",1,2,2,2,3,4,3,3,3,4,2,4,3,3,3,3,3,4,4
199,"21","Man","White",3,5,5,2,3,2,5,4,3,4,3,3,4,3,3,1,3,4,4
200,"22","Man","Asian",2,3,3,4,5,4,3,3,4,3,3,3,3,4,2,4,2,4,4
201,"19","Man","White",4,1,2,4,3,4,3,3,3,4,3,2,3,3,2,2,5,3,5
202,"20","Woman","White",3,3,2,3,4,3,3,4,2,2,2,2,3,4,3,4,3,2,4
203,"18","Woman","Asian",2,1,2,4,3,3,3,4,2,3,2,3,2,4,4,3,4,2,3
204,"19","Woman","White",2,3,5,2,1,3,3,4,2,3,4,3,4,2,3,5,4,4,4
205,"19","Woman","White",2,3,2,4,3,3,4,4,3,2,3,3,2,3,4,3,3,3,5
206,"20","Woman","Asian",1,2,2,1,2,5,3,3,3,2,3,2,3,3,2,2,3,2,4
207,"21","Woman","White",3,2,2,2,3,4,4,1,3,4,3,3,2,3,4,4,5,3,3
208,"21","Woman","White",1,4,2,3,3,3,4,3,3,2,3,3,3,2,2,2,2,4,4
209,"20","Woman","Asian",3,3,3,2,3,2,3,4,3,2,3,3,3,3,4,2,3,1,4
210,"19","Woman","Middle Eastern or North African",3,4,2,3,3,3,3,3,3,4,4,1,3,4,2,2,5,4,3
211,"19","Man","Hispanic or Latino",2,2,3,2,3,5,3,2,3,4,3,2,3,1,3,3,4,3,5
212,"20","Woman","American Indian or Alaska Native",3,4,2,4,4,4,4,4,1,4,3,3,4,4,2,2,4,4,3
213,"18","Man","White",4,2,4,3,2,4,3,4,3,4,3,3,4,2,3,4,3,3,2
214,"18","Woman","Black or African American",3,3,2,3,2,2,3,3,2,3,2,3,5,2,2,3,2,4,4
215,"19","Woman","Asian",4,2,2,4,2,2,4,3,2,3,4,4,2,1,4,5,3,3,3
216,"22","Woman","Hispanic or Latino",3,4,3,5,2,3,4,3,3,2,3,2,3,2,4,2,3,3,4
217,"20","Woman","White",3,2,3,3,5,2,4,4,2,5,4,3,3,3,3,2,4,4,4
218,"21","Woman","White",3,2,4,2,3,4,3,3,3,1,4,3,3,2,2,2,3,4,4
219,"21","Woman","Asian",5,5,3,3,4,2,4,2,3,3,4,1,4,3,3,3,2,4,4
220,"21","Woman","White",3,2,3,4,3,3,3,5,4,5,3,4,5,1,3,4,2,3,3
221,"20","Nonbinary or genderqueer","Black or African American",4,3,3,5,4,3,3,3,3,4,3,2,4,3,3,1,2,3,1
222,"21","Man","Asian",3,2,2,2,4,4,3,2,4,3,3,2,3,3,2,4,5,4,4
223,"20","Nonbinary or genderqueer","White",2,4,4,3,3,4,2,3,3,3,3,2,3,4,4,3,2,3,3
224,"19","Man","White",3,4,2,5,4,4,2,3,4,3,2,2,3,4,4,4,2,2,5
225,"21","Woman","White",3,2,3,3,2,1,4,4,2,4,4,4,2,2,2,3,3,2,4
226,"19","Man","White",4,1,4,3,4,3,4,3,2,3,3,1,3,5,3,4,4,2,4
227,"18","Woman","White",4,2,3,4,3,4,2,3,2,3,2,3,3,3,2,4,4,4,3
228,"20","Woman","White",3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,4,4,5,3
229,"19","Woman","White",3,3,3,3,4,3,3,4,2,2,4,3,3,3,3,3,3,5,6
230,"21","Woman","White",4,5,3,5,5,4,3,3,4,5,4,3,2,3,1,2,3,4,4
231,"22","Man","Hispanic or Latino",5,2,3,2,2,3,2,3,3,3,1,3,1,3,3,1,3,3,3
232,"21","Woman","Hispanic or Latino",3,4,4,2,2,3,4,3,4,4,3,2,3,1,4,5,3,2,5
233,"20","Woman","White",3,3,4,3,4,3,4,4,1,3,3,2,2,3,1,4,3,2,2
234,"21","Man","White",1,4,3,2,3,5,3,4,4,2,1,4,4,2,3,3,3,4,3
235,"20","Woman","Black or African American",3,4,3,2,5,2,3,4,2,4,4,2,4,3,1,5,3,4,5
236,"21","Man","Hispanic or Latino",2,3,4,3,4,2,3,5,4,3,3,3,1,4,2,3,3,3,4
237,"18","Man","Asian",3,3,1,3,3,2,5,2,4,4,4,2,2,3,2,2,2,4,2
238,"18","Woman","White",2,3,4,2,5,3,1,4,3,4,3,2,1,3,3,3,2,3,4
239,"20","Woman","White",3,5,3,4,2,2,4,3,2,4,3,3,3,3,4,3,2,2,4
240,"20","Man","White",2,3,1,3,3,2,4,3,2,4,3,3,2,3,2,3,2,3,3
241,"22","Woman","Asian",1,2,3,2,2,4,4,1,3,3,4,4,3,2,3,2,1,2,3
242,"21","Man","White",1,4,4,2,1,4,2,1,3,4,2,2,3,4,2,3,2,4,5
243,"20","Woman","White",3,4,3,4,3,3,2,2,4,2,3,2,3,3,2,3,1,3,1
244,"20","Woman","White",2,3,3,3,4,2,2,2,2,5,4,3,4,3,1,2,4,3,3
245,"20","Woman","Hispanic or Latino",2,3,4,4,3,4,3,4,3,2,3,2,3,5,2,4,3,3,3
246,"18","Nonbinary or genderqueer","Middle Eastern or North African",2,3,2,3,2,5,2,3,4,2,3,3,2,4,4,2,2,4,3
247,"19","Woman","White",1,2,2,2,3,1,4,3,3,2,3,3,2,4,5,3,3,3,3
248,"22","Woman","White",3,2,3,3,2,4,1,3,4,4,2,2,4,3,3,1,1,5,4
249,"22","Woman","White",4,3,3,3,4,4,4,3,4,3,1,3,2,3,2,4,5,1,3
250,"20","Woman","Asian",3,4,3,3,3,5,2,3,5,3,3,4,2,4,1,1,3,3,4
251,"20","Woman","White",4,2,4,4,3,4,2,4,3,1,3,2,3,2,3,4,2,3,3
252,"21","Woman","Asian",3,4,2,3,2,3,3,4,3,4,3,3,2,5,2,3,5,3,3
253,"20","Woman","White",2,4,2,3,2,4,3,3,4,3,1,3,3,3,4,1,4,2,4
254,"18","Woman","Middle Eastern or North African",5,2,3,2,2,3,3,3,3,2,2,4,3,3,3,4,4,4,6
255,"20","Woman","White",5,3,4,4,4,3,3,4,2,3,3,2,3,5,3,3,4,3,5
256,"19","Nonbinary or genderqueer","White",3,2,3,3,2,3,3,3,2,3,3,4,2,2,3,2,1,3,2
257,"21","Woman","White",2,4,3,3,4,4,4,5,3,2,2,4,5,3,4,2,2,2,5
258,"20","Woman","Black or African American",3,3,4,4,1,2,3,3,4,2,4,5,3,4,3,3,3,3,2
259,"20","Woman","Middle Eastern or North African",2,4,3,3,3,1,2,3,3,3,3,3,4,1,3,3,2,4,3
260,"20","Man","American Indian or Alaska Native",3,3,2,2,3,3,2,3,4,3,3,2,4,5,3,4,2,4,2
261,"22","Man","Hispanic or Latino",2,4,2,3,3,3,4,3,3,1,3,3,3,3,3,3,4,2,4
262,"19","Man","White",3,3,4,4,2,3,3,4,3,1,2,5,3,3,3,3,3,5,4
263,"18","Man","White",4,3,4,3,2,3,3,5,4,3,3,1,4,3,3,4,3,3,3
264,"22","Nonbinary or genderqueer","Hispanic or Latino",4,2,2,2,3,3,2,3,3,4,3,3,3,1,2,3,2,2,3
